FIRST,LAST,NICKNAME,URL,NAME
Jailton,Almeida,Malhadinho,http://ufcstats.com/fighter-details/41e83a89929d1327,Jailton Almeida
Lucas,Almeida,,http://ufcstats.com/fighter-details/710f0f8c5d5c9d41,Lucas Almeida
Cesar,Almeida,Cesinha,http://ufcstats.com/fighter-details/64d47ef881a437a4,Cesar Almeida
Mauricio,Alonso,,http://ufcstats.com/fighter-details/c6bf75775b278ed8,Mauricio Alonso
Sarah,Alpar,Too Sweet,http://ufcstats.com/fighter-details/49b130de1da2e1bf,Sarah Alpar
Ali,AlQaisi,The Royal Fighter,http://ufcstats.com/fighter-details/e87a13e02c01331d,Ali AlQaisi
Rico,Altamirano,,http://ufcstats.com/fighter-details/c61b49cec6abd6b9,Rico Altamirano
Victor,Altamirano,El Magnifico,http://ufcstats.com/fighter-details/dc7927cd622676a7,Victor Altamirano
Mike,Altman,,http://ufcstats.com/fighter-details/c11036da9162cb5f,Mike Altman
Patricia,Alujas,The Angel,http://ufcstats.com/fighter-details/430c533614d45813,Patricia Alujas
Sean,Alvarez,,http://ufcstats.com/fighter-details/e741536153227386,Sean Alvarez
Eddie,Alvarez,,http://ufcstats.com/fighter-details/33a331684283900f,Eddie Alvarez
Jaime,Alvarez,,http://ufcstats.com/fighter-details/4438482bd1d5a029,Jaime Alvarez
Joel,Alvarez,El Fenomeno,http://ufcstats.com/fighter-details/58bbef3770bb2dfc,Joel Alvarez
Thiago,Alves,Pitbull,http://ufcstats.com/fighter-details/31ee470ef5dc8d7f,Thiago Alves
Anthony,Alves,,http://ufcstats.com/fighter-details/bd92cf5da5413d2a,Anthony Alves
Amilcar,Alves,,http://ufcstats.com/fighter-details/dc5a6b2fdb27e7dc,Amilcar Alves
Warlley,Alves,,http://ufcstats.com/fighter-details/d317a5e2b3f88c5f,Warlley Alves
Rafael,Alves,The Turn,http://ufcstats.com/fighter-details/029afd138865d20a,Rafael Alves
Sam,Alvey,Smile'N,http://ufcstats.com/fighter-details/d156513a19acf856,Sam Alvey
Andre,Amado,Dida,http://ufcstats.com/fighter-details/20821819c401ced8,Andre Amado
Adlan,Amagov,Borz,http://ufcstats.com/fighter-details/1e327b281ef6a745,Adlan Amagov
Maiara,Amanajas dos Santos,,http://ufcstats.com/fighter-details/247fbbfafea60bb1,Maiara Amanajas dos Santos
Chris,Amarante,,http://ufcstats.com/fighter-details/ee0b69e307c857e5,Chris Amarante
Jimmy,Ambriz,The Titan,http://ufcstats.com/fighter-details/c912f676692c353a,Jimmy Ambriz
JJ,Ambrose,,http://ufcstats.com/fighter-details/d562b12b8fe88336,JJ Ambrose
Alen,Amedovski,,http://ufcstats.com/fighter-details/70fa1c64a2c439ef,Alen Amedovski
Hyder,Amil,The Hurricane,http://ufcstats.com/fighter-details/41cc71cbf210e0fe,Hyder Amil
Hamid,Amiri,The Storm,http://ufcstats.com/fighter-details/6c40705cf6c0d7e2,Hamid Amiri
Makwan,Amirkhani,Mr. Finland,http://ufcstats.com/fighter-details/87a1dc546b1c5caf,Makwan Amirkhani
Jaqueline,Amorim,,http://ufcstats.com/fighter-details/bc7d1ad49fcb2d08,Jaqueline Amorim
Bertrand,Amoussou,,http://ufcstats.com/fighter-details/53adf5b845d91e4a,Bertrand Amoussou
Karl,Amoussou,The Psycho,http://ufcstats.com/fighter-details/23a8c33869bf5392,Karl Amoussou
Eryk,Anders,Ya Boi,http://ufcstats.com/fighter-details/cad24459b28592ca,Eryk Anders
Matt,Andersen,,http://ufcstats.com/fighter-details/8738eacd62e82a32,Matt Andersen
Andy,Anderson,The Hammer,http://ufcstats.com/fighter-details/9199e0735b83dd32,Andy Anderson
Lowell,Anderson,,http://ufcstats.com/fighter-details/1ffc38f67785797b,Lowell Anderson
Corey,Anderson,Overtime,http://ufcstats.com/fighter-details/5e4eec08896c9423,Corey Anderson
Derek,Anderson,Barbaric,http://ufcstats.com/fighter-details/19ba965651486013,Derek Anderson
Megan,Anderson,,http://ufcstats.com/fighter-details/a0e75f4a13eb73f1,Megan Anderson
Liam,Anderson,,http://ufcstats.com/fighter-details/b03a0c78ca45facf,Liam Anderson
Tatsuya,Ando,Kirinji,http://ufcstats.com/fighter-details/17615148dd4be6f6,Tatsuya Ando
Alex,Andrade,El Toro,http://ufcstats.com/fighter-details/1562b12763cc8d67,Alex Andrade
Jessica,Andrade,Bate Estaca,http://ufcstats.com/fighter-details/6a1901c62ab3870f,Jessica Andrade
Viscardi,Andrade,,http://ufcstats.com/fighter-details/d221ee27afc7a60e,Viscardi Andrade
Jermaine,Andre,,http://ufcstats.com/fighter-details/9bad58fa651d6196,Jermaine Andre
Juan,Andres Luna,,http://ufcstats.com/fighter-details/1fd9f744105024a8,Juan Andres Luna
Fellipe,Andrew,,http://ufcstats.com/fighter-details/7977fb0fd9c5955d,Fellipe Andrew
Dylan,Andrews,The Villain,http://ufcstats.com/fighter-details/00debc804e2b1cd4,Dylan Andrews
Reese,Andy,Riptide,http://ufcstats.com/fighter-details/46e2ca71fd5089cb,Reese Andy
,Angga,The Hitman,http://ufcstats.com/fighter-details/d6a3e131ad4ba064,
Julius,Anglickas,,http://ufcstats.com/fighter-details/e20ad078a7d63361,Julius Anglickas
Collin,Anglin,,http://ufcstats.com/fighter-details/047a91d3d9c79b05,Collin Anglin
Chad,Anheliger,The Monster,http://ufcstats.com/fighter-details/c7c39e2fb70248b3,Chad Anheliger
Yoji,Anjo,Mr. 200%,http://ufcstats.com/fighter-details/e06fd1260ac865a7,Yoji Anjo
Magomed,Ankalaev,,http://ufcstats.com/fighter-details/d802174b0c0c1f4e,Magomed Ankalaev
Gadzhimurad,Antigulov,,http://ufcstats.com/fighter-details/af997f7611673880,Gadzhimurad Antigulov
Adam,Antolin,Captain Chaos,http://ufcstats.com/fighter-details/25b31165758402dd,Adam Antolin
Angelo,Antonio,,http://ufcstats.com/fighter-details/dbd198f780286aca,Angelo Antonio
Vanilto,Antunes,,http://ufcstats.com/fighter-details/cc49ada1ea955b13,Vanilto Antunes
Azunna,Anyanwu,Zulu,http://ufcstats.com/fighter-details/78d48d3874dacafd,Azunna Anyanwu
Shinsho,Anzai,Animal,http://ufcstats.com/fighter-details/4665f9f909cd7214,Shinsho Anzai
Shinya,Aoki,Tobikan Judan,http://ufcstats.com/fighter-details/79ded75550efc139,Shinya Aoki
,Aoriqileng,The Mongolian Murderer,http://ufcstats.com/fighter-details/7d420039bbfe7c1a,
Josh,Appelt,,http://ufcstats.com/fighter-details/0c1a04afca64e38f,Josh Appelt
Erik,Apple,,http://ufcstats.com/fighter-details/1ccff7f0cfdf85eb,Erik Apple
Kenji,Arai,,http://ufcstats.com/fighter-details/269d103c96a4c3a5,Kenji Arai
Romie,Aram,,http://ufcstats.com/fighter-details/73ef22f25d0f70e2,Romie Aram
Felipe,Arantes,Sertanejo,http://ufcstats.com/fighter-details/71002dbc1743b9a7,Felipe Arantes
Igor,Araujo,,http://ufcstats.com/fighter-details/dbea8c1cb327ab3d,Igor Araujo
Viviane,Araujo,Vivi,http://ufcstats.com/fighter-details/36541f1e6c5d4955,Viviane Araujo
Julio,Arce,,http://ufcstats.com/fighter-details/1291edf2d566a71a,Julio Arce
Art,Arciniega,King Arthur,http://ufcstats.com/fighter-details/d25e39e74efb0a77,Art Arciniega
Alice,Ardelean,,http://ufcstats.com/fighter-details/87f8699fdcc2c404,Alice Ardelean
Tristan,Arenal,,http://ufcstats.com/fighter-details/9c9455912d917e4e,Tristan Arenal
Gabriel,Arges,,http://ufcstats.com/fighter-details/db3c4a884d704efe,Gabriel Arges
Dan,Argueta,The Determined,http://ufcstats.com/fighter-details/e4ba58725825412d,Dan Argueta
Reza,Arianto,The Crazy Lion,http://ufcstats.com/fighter-details/90063913321e7670,Reza Arianto
Hashem,Arkhagha,,http://ufcstats.com/fighter-details/9a7ffa80766caa51,Hashem Arkhagha
Andrei,Arlovski,The Pitbull,http://ufcstats.com/fighter-details/3738e68d2261e60f,Andrei Arlovski
Garrett,Armfield,,http://ufcstats.com/fighter-details/1effd880e1f1bb30,Garrett Armfield
Joey,Armstrong,,http://ufcstats.com/fighter-details/30ad2050273d016a,Joey Armstrong
Austin,Arnett,,http://ufcstats.com/fighter-details/bf0e700106d00e55,Austin Arnett
Ricardo,Arona,The Brazilian Tiger,http://ufcstats.com/fighter-details/05fbfe628658c538,Ricardo Arona
Eli,Aronov,The Israeli Tank,http://ufcstats.com/fighter-details/a90c200c3fbb22c4,Eli Aronov
Chalid,Arrab,Die Faust,http://ufcstats.com/fighter-details/770b9d4813c25902,Chalid Arrab
Akbarh,Arreola,El Caballero,http://ufcstats.com/fighter-details/c136b2a8852da5bd,Akbarh Arreola
Matt,Arroyo,No Regard,http://ufcstats.com/fighter-details/de62052b2ede65ba,Matt Arroyo
Antonio,Arroyo,,http://ufcstats.com/fighter-details/61fb8098ccf81c7f,Antonio Arroyo
Gilles,Arsene,,http://ufcstats.com/fighter-details/2dea80c069847321,Gilles Arsene
Veta,Arteaga,,http://ufcstats.com/fighter-details/91e3388e69060e69,Veta Arteaga
Cesar,Arzamendia,Goku,http://ufcstats.com/fighter-details/49f78022126bf4a4,Cesar Arzamendia
Kai,Asakura,,http://ufcstats.com/fighter-details/d33da8a3d82bdb62,Kai Asakura
Teddy,Ash,Bear,http://ufcstats.com/fighter-details/a373085066dbfb54,Teddy Ash
Arman,Ashimov,Mustafa Ozturik,http://ufcstats.com/fighter-details/d26a0988c9dc9886,Arman Ashimov
Yanal,Ashmouz,Red Fox,http://ufcstats.com/fighter-details/c739c2995a275314,Yanal Ashmouz
,Asjabharan,,http://ufcstats.com/fighter-details/8be9deb7d6b36354,
Askar,Askar,AK-47,http://ufcstats.com/fighter-details/2abc414136504554,Askar Askar
Askar,Askarov,Bullet,http://ufcstats.com/fighter-details/b1d19449397541dc,Askar Askarov
Cyril,Asker,Silverback,http://ufcstats.com/fighter-details/9be6020024133293,Cyril Asker
Khusein,Askhabov,Nohcho,http://ufcstats.com/fighter-details/5c10da56d712ac9c,Khusein Askhabov
Scott,Askham,,http://ufcstats.com/fighter-details/06827d70c53ff0d9,Scott Askham
Ben,Askren,Funky,http://ufcstats.com/fighter-details/0b31f87be71ebbb1,Ben Askren
Ibo,Aslan,The Last Ottoman,http://ufcstats.com/fighter-details/6e8f1bcdda94ff45,Ibo Aslan
Tom,Aspinall,,http://ufcstats.com/fighter-details/399afbabc02376b5,Tom Aspinall
Bruno,Assis,Brunao,http://ufcstats.com/fighter-details/ff222167cce02919,Bruno Assis
Junior,Assuncao,,http://ufcstats.com/fighter-details/d0d7160824278840,Junior Assuncao
Raphael,Assuncao,,http://ufcstats.com/fighter-details/2f13e4020cea5b38,Raphael Assuncao
Michael,Aswell,The Texas Kid,http://ufcstats.com/fighter-details/01c9e4013afce141,Michael Aswell
Bazigit,Atajev,Volk,http://ufcstats.com/fighter-details/fd7acf42bd6e7e95,Bazigit Atajev
Rich,Attonito,The Raging Bull,http://ufcstats.com/fighter-details/210935fd21670f6d,Rich Attonito
Olivier,Aubin-Mercier,The Canadian Gangster,http://ufcstats.com/fighter-details/55ee431411ccf07a,Olivier Aubin-Mercier
Pat,Audinwood,Awesomely Awesome,http://ufcstats.com/fighter-details/196ed28337adc630,Pat Audinwood
Jose,Augusto,Gugu,http://ufcstats.com/fighter-details/4d3b08ab127c7585,Jose Augusto
Marcus,Aurelio,Maximus,http://ufcstats.com/fighter-details/04643fd03d9159cc,Marcus Aurelio
David,Avellan,,http://ufcstats.com/fighter-details/956dcac65e7b34d6,David Avellan
Blas,Avena,The Disciple,http://ufcstats.com/fighter-details/8753e125f4499816,Blas Avena
Levi,Avera,,http://ufcstats.com/fighter-details/ba5c6eeb8ef45f5c,Levi Avera
Anthony,Avila,,http://ufcstats.com/fighter-details/033d19259f589457,Anthony Avila
Chris,Avila,,http://ufcstats.com/fighter-details/4665cbf36b08193b,Chris Avila
Julia,Avila,Raging Panda,http://ufcstats.com/fighter-details/86d9dbe1bfcbade7,Julia Avila
Saad,Awad,Assassin,http://ufcstats.com/fighter-details/da603332ad41f165,Saad Awad
Javy,Ayala,Eye Candy,http://ufcstats.com/fighter-details/26387c19f32dda0f,Javy Ayala
Jessin,Ayari,,http://ufcstats.com/fighter-details/6eaec40f724852f4,Jessin Ayari
Abu,Azaitar,Captain Morocco,http://ufcstats.com/fighter-details/46d0a888d87d91ac,Abu Azaitar
Ottman,Azaitar,Bulldozer,http://ufcstats.com/fighter-details/ee18ff42063174df,Ottman Azaitar
Luiz,Azeredo,,http://ufcstats.com/fighter-details/063649e21bc9d6d5,Luiz Azeredo
Luciano,Azevedo,,http://ufcstats.com/fighter-details/9bcfb40dbcd50568,Luciano Azevedo
Hunter,Azure,,http://ufcstats.com/fighter-details/2af2f2e26c4c0402,Hunter Azure
Niklas,Backstrom,,http://ufcstats.com/fighter-details/39cc64bf0a269db9,Niklas Backstrom
Seth,Baczynski,The Polish Pistola,http://ufcstats.com/fighter-details/fd5b6598a3b70c0a,Seth Baczynski
Abdul Azeem,Badakhshi,The Afghan Lion,http://ufcstats.com/fighter-details/968764372c49eab6,Abdul Azeem Badakhshi
Ryan,Bader,Darth,http://ufcstats.com/fighter-details/c0ab242c40decc55,Ryan Bader
Izabela,Badurek,,http://ufcstats.com/fighter-details/4fcf6e0c4e0e6664,Izabela Badurek
Miguel,Baeza,Caramel Thunder,http://ufcstats.com/fighter-details/82d4c957649faf9b,Miguel Baeza
Ali,Bagautinov,Puncher,http://ufcstats.com/fighter-details/3dd92ff9fb0412b3,Ali Bagautinov
Mehdi,Baghdad,The Sultan,http://ufcstats.com/fighter-details/e4d2564ea0e34e2b,Mehdi Baghdad
Melsik,Baghdasaryan,The Gun,http://ufcstats.com/fighter-details/a52bc1e62cf0b7c6,Melsik Baghdasaryan
Siyar,Bahadurzada,The Great,http://ufcstats.com/fighter-details/aec185309b4843d0,Siyar Bahadurzada
Ignacio,Bahamondes,La Jaula,http://ufcstats.com/fighter-details/e4a47b07044ddd72,Ignacio Bahamondes
Bahatebole,Batebolati,Lion King,http://ufcstats.com/fighter-details/8f313e9c3a39c06e,Bahatebole Batebolati
Shamar,Bailey,,http://ufcstats.com/fighter-details/e2b8186b618b00c4,Shamar Bailey
Jordan,Bailey,,http://ufcstats.com/fighter-details/34dbcd4dbaf21a36,Jordan Bailey
Scott,Baker,,http://ufcstats.com/fighter-details/7d5b12de1625984e,Scott Baker
Bryan,Baker,The Beast,http://ufcstats.com/fighter-details/898337ef520fe4d3,Bryan Baker
Jin,Bala,,http://ufcstats.com/fighter-details/371efa53bd0cf669,Jin Bala
,Balajin,The Snow Leopard,http://ufcstats.com/fighter-details/e626e92a8f2a9737,
Oluwale,Bamgbose,Holy War Angel,http://ufcstats.com/fighter-details/04b39f4e8eb59d7c,Oluwale Bamgbose
Stephen,Banaszak,,http://ufcstats.com/fighter-details/4c4b44e3cf5815b3,Stephen Banaszak
Marcin,Bandel,Bomba,http://ufcstats.com/fighter-details/5c2ce761399dc9c5,Marcin Bandel
Humberto,Bandenay,,http://ufcstats.com/fighter-details/2c2caf2f2bab9df5,Humberto Bandenay
Tae Hyun,Bang,Supernatural,http://ufcstats.com/fighter-details/9a2d3567abc02e34,Tae Hyun Bang
Yohan,Banks,,http://ufcstats.com/fighter-details/c50ea21fe9ef478d,Yohan Banks
Shauna,Bannon,Mama B,http://ufcstats.com/fighter-details/9c442aaf149ea982,Shauna Bannon
Antonio,Banuelos,,http://ufcstats.com/fighter-details/9ddfb3369a3b0394,Antonio Banuelos
Renan,Barao,The Baron,http://ufcstats.com/fighter-details/2c99576fefe53c7c,Renan Barao
Junior,Barata,,http://ufcstats.com/fighter-details/06dced58ca24a6bd,Junior Barata
Maycee,Barber,The Future,http://ufcstats.com/fighter-details/6a740daf1b279661,Maycee Barber
Bryan,Barberena,Bam Bam,http://ufcstats.com/fighter-details/a331233f597090a5,Bryan Barberena
Dione,Barbosa,The Witch,http://ufcstats.com/fighter-details/27b388f0aab49780,Dione Barbosa
Edson,Barboza,Junior,http://ufcstats.com/fighter-details/64a50dad704d1d49,Edson Barboza
Raoni,Barcelos,,http://ufcstats.com/fighter-details/b9f28e7045fdfce7,Raoni Barcelos
Daniel,Barez,,http://ufcstats.com/fighter-details/e8fe9c15d348e778,Daniel Barez
Danny,Barlow,LeftHand2God,http://ufcstats.com/fighter-details/b7c5eb7cdbac6a63,Danny Barlow
Luke,Barnatt,The Bigslow,http://ufcstats.com/fighter-details/172c2135e70f87b7,Luke Barnatt
James,Barnes,Mooka,http://ufcstats.com/fighter-details/c06a5c95f1169c0b,James Barnes
Nick,Barnes,,http://ufcstats.com/fighter-details/78a5eea49638685d,Nick Barnes
Shonte,Barnes,Shyne,http://ufcstats.com/fighter-details/e575b6ff678c1aca,Shonte Barnes
Josh,Barnett,The Warmaster,http://ufcstats.com/fighter-details/ad3f53c454cbbead,Josh Barnett
Chris,Barnett,Beastboy,http://ufcstats.com/fighter-details/7a5e8c94a86f9895,Chris Barnett
Chris,Barnhizer,,http://ufcstats.com/fighter-details/91e69a1c3c87325b,Chris Barnhizer
David,Baron,,http://ufcstats.com/fighter-details/80c0bed43da0e27b,David Baron
Phil,Baroni,The New York Bad Ass,http://ufcstats.com/fighter-details/1652f3213655b935,Phil Baroni
Dan,Barrera,The Fireman,http://ufcstats.com/fighter-details/f12f979b657ab876,Dan Barrera
Carlos,Barreto,,http://ufcstats.com/fighter-details/a220be6d41d6f97d,Carlos Barreto
Jose,Barreto,,http://ufcstats.com/fighter-details/c32eab6c2119e989,Jose Barreto
Peter,Barrett,Slippery,http://ufcstats.com/fighter-details/d21113c9ff3788ae,Peter Barrett
Marc-Andre,Barriault,Powerbar,http://ufcstats.com/fighter-details/8e9eb3fc86db0f7d,Marc-Andre Barriault
David,Barrios,,http://ufcstats.com/fighter-details/e6015889f50075d2,David Barrios
Alexandre,Barros,Baixinho,http://ufcstats.com/fighter-details/8fd1f27e86661ede,Alexandre Barros
Ricardo,Barros,,http://ufcstats.com/fighter-details/d26394fc0e8e880a,Ricardo Barros
Francimar,Barroso,Bodao,http://ufcstats.com/fighter-details/b69f24c500d783e7,Francimar Barroso
