EVENT,URL,DATE,LOCATION
UFC Fight Night: Thompson vs. Holland,http://ufcstats.com/event-details/b23388ff8ac6637b,2022-12-03,"Orlando, Florida, USA"
UFC Fight Night: Nzechukwu vs. Cutelaba,http://ufcstats.com/event-details/012fc7cd0779c09a,2022-11-19,"Las Vegas, Nevada, USA"
UFC 281: Adesanya vs. Pereira,http://ufcstats.com/event-details/b3b6e80b7d5f8f0d,2022-11-12,"New York City, New York, USA"
UFC Fight Night: Rodriguez vs. Lemos,http://ufcstats.com/event-details/756f45905fb20cb5,2022-11-05,"Las Vegas, Nevada, USA"
UFC Fight Night: Kattar vs. Allen,http://ufcstats.com/event-details/be5aab761c40ef35,2022-10-29,"Las Vegas, Nevada, USA"
UFC 280: Oliveira vs. Makhachev,http://ufcstats.com/event-details/885e7f70dcac0007,2022-10-22,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
UFC Fight Night: Grasso vs. Araujo,http://ufcstats.com/event-details/49c29e57d4e2be6f,2022-10-15,"Las Vegas, Nevada, USA"
UFC Fight Night: Dern vs. Yan,http://ufcstats.com/event-details/4f670b7972fa0a2e,2022-10-01,"Las Vegas, Nevada, USA"
UFC Fight Night: Sandhagen vs. Song,http://ufcstats.com/event-details/8d477c3fbe001f9d,2022-09-17,"Las Vegas, Nevada, USA"
UFC 279: Diaz vs. Ferguson,http://ufcstats.com/event-details/93bf96be327fcd98,2022-09-10,"Las Vegas, Nevada, USA"
UFC Fight Night: Gane vs. Tuivasa,http://ufcstats.com/event-details/00a905a4a4a2b071,2022-09-03,"Paris, Ile-de-France, France"
UFC 278: Usman vs. Edwards,http://ufcstats.com/event-details/4f853e98886283cf,2022-08-20,"Salt Lake City, Utah, USA"
UFC Fight Night: Vera vs. Cruz,http://ufcstats.com/event-details/a23e63184c65f5b8,2022-08-13,"San Diego, California, USA"
UFC Fight Night: Santos vs. Hill,http://ufcstats.com/event-details/8f6a18831a120817,2022-08-06,"Las Vegas, Nevada, USA"
UFC 277: Pena vs. Nunes 2,http://ufcstats.com/event-details/b0a6124751a56bc4,2022-07-30,"Dallas, Texas, USA"
UFC Fight Night: Blaydes vs. Aspinall,http://ufcstats.com/event-details/319c15b8aac5bfde,2022-07-23,"London, England, United Kingdom"
UFC Fight Night: Ortega vs. Rodriguez,http://ufcstats.com/event-details/8fd76e1b49c00ae2,2022-07-16,"Elmont, New York, USA"
UFC Fight Night: Dos Anjos vs. Fiziev,http://ufcstats.com/event-details/31da66df48c0c1a0,2022-07-09,"Las Vegas, Nevada, USA"
UFC 276: Adesanya vs. Cannonier,http://ufcstats.com/event-details/4a9e305633f3ef47,2022-07-02,"Las Vegas, Nevada, USA"
UFC Fight Night: Tsarukyan vs. Gamrot,http://ufcstats.com/event-details/eb42d4febfafefd1,2022-06-25,"Las Vegas, Nevada, USA"
UFC Fight Night: Kattar vs. Emmett,http://ufcstats.com/event-details/a0a680fe2f6cc8e6,2022-06-18,"Austin, Texas, USA"
UFC 275: Teixeira vs. Prochazka,http://ufcstats.com/event-details/3a24769a4855040a,2022-06-11,"Kallang, Singapore"
UFC Fight Night: Volkov vs. Rozenstruik,http://ufcstats.com/event-details/57591bbf1623574e,2022-06-04,"Las Vegas, Nevada, USA"
UFC Fight Night: Holm vs. Vieira,http://ufcstats.com/event-details/a6c32678efd4f434,2022-05-21,"Las Vegas, Nevada, USA"
UFC Fight Night: Blachowicz vs. Rakic,http://ufcstats.com/event-details/60ba33c3f555a7a3,2022-05-14,"Las Vegas, Nevada, USA"
UFC 274: Oliveira vs. Gaethje,http://ufcstats.com/event-details/253d3f9e97ca149a,2022-05-07,"Phoenix, Arizona, USA"
UFC Fight Night: Font vs. Vera,http://ufcstats.com/event-details/6bf5a7d3e081ade2,2022-04-30,"Las Vegas, Nevada, USA"
